,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",78
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",79
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",80
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",81
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",82
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",83
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",84
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",85
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",86
ESCUELA Y LICEO ELBIO FERNÁNDEZ  PRIMARIA,"CANELONES 1382 ESQ. EJIDO, Montevideo, Uruguay","-34,9084306","-56,1859206",87
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",88
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",89
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",90
ESCUELA Y LICEO ELBIO FERNÁNDEZ  SECUNDARIA,"MALDONADO 1381 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",91
